Unnamed: 0,name,serving_size,calories,total_fat,saturated_fat,cholesterol,sodium,choline,folate,folic_acid,niacin,pantothenic_acid,riboflavin,thiamin,vitamin_a,vitamin_a_rae,carotene_alpha,carotene_beta,cryptoxanthin_beta,lutein_zeaxanthin,lucopene,vitamin_b12,vitamin_b6,vitamin_c,vitamin_d,vitamin_e,tocopherol_alpha,vitamin_k,calcium,copper,iron,magnesium,manganese,phosphorous,potassium,selenium,zink,protein,alanine,arginine,aspartic_acid,cystine,glutamic_acid,glycine,histidine,hydroxyproline,isoleucine,leucine,lysine,methionine,phenylalanine,proline,serine,threonine,tryptophan,tyrosine,valine,carbohydrate,fiber,sugars,fructose,galactose,glucose,lactose,maltose,sucrose,fat,saturated_fatty_acids,monounsaturated_fatty_acids,polyunsaturated_fatty_acids,fatty_acids_total_trans,alcohol,ash,caffeine,theobromine,water,meal_time,calcium_magnesium_ratio,vitamin_c_e_ratio,saturated_unsaturated_fatty_acids_ratio,total_essential_amino_acids,total_carbohydrates,antioxidant_capacity,energy_density
8665,"Lamb, roasted, cooked, choice, trimmed to 1/4"" fat, separable lean and fat, blade, shoulder, domestic",100,281,21,86,0.092,6.6,0.0,0.0021,0.0,5.91,0.69,0.23,0.09,0.0,0.0,0.0,0.0,0.0,0.0,0,0.000267,0.11,0.0,0.0,0.014,0.014,0.0,2.1,0.106,0.192,2.2,0.022,18.3,24.6,0.000252,0.558,2225,1338,1322,1958,266,3228,1086,705,0,1073,1730,1964,571,906,933,827,952,260,748,1200,0,0,0,0,0,0,0,0,0,2061,8640,8420,1680,9.2,0,119,0.0,0.0,5585,Supper,0.9545454545454545,0.0,0,8656,0,0.014252,2
8666,"Beef, roasted, cooked, all grades, trimmed to 0"" fat, separable lean and fat, roast, tip round, round",100,188,82,3,0.078,3.5,1.02,0.0008,0.0,4.682,0.528,0.143,0.062,0.0,0.0,0.0,0.0,0.0,0.0,0,0.000149,0.352,0.0,0.015,0.038,0.038,1.3e-05,0.6,0.064,0.218,1.7,0.009,16.6,21.7,0.000274,0.449,2679,1629,1732,2440,346,4022,1631,855,281,1219,2131,2264,698,1058,1277,1055,1070,176,854,1329,0,0,0,0,0,0,0,0,0,821,3007,3405,305,7.8,0,111,0.0,0.0,6467,Lunch,0.35294117647058826,0.0,0,9945,0,0.038274,1
8667,"Beef, roasted, cooked, all grades, trimmed to 0"" fat, separable lean only, roast, bottom round, round",100,177,65,23,0.077,3.6,1.057,0.0009,0.0,4.987,0.546,0.157,0.063,0.0,0.0,0.0,0.0,0.0,0.0,0,0.000153,0.372,0.0,0.0,0.037,0.037,1.5e-05,0.6,0.069,0.233,1.9,0.01,17.6,22.8,0.000315,0.479,2776,1688,1795,2528,358,4167,1690,886,292,1263,2208,2346,723,1096,1323,1093,1109,182,885,1377,0,0,0,0,0,0,0,0,0,648,2260,2730,242,7.7,0,110,0.0,0.0,6537,Lunch,0.3157894736842105,0.0,0,10304,0,0.037315,1
8668,"Beef, braised, cooked, all grades, trimmed to 0"" fat, separable lean only, steak, bottom round, round",100,214,77,27,0.093,4.4,1.295,0.0011,0.0,6.109,0.669,0.192,0.077,0.0,0.0,0.0,0.0,0.0,0.0,0,0.000188,0.456,0.0,0.0125,0.045,0.045,1.6e-05,0.7,0.084,0.283,2.3,0.012,21.4,27.8,0.000383,0.582,3400,2067,2199,3097,439,5105,2071,1085,357,1547,2705,2874,886,1343,1621,1339,1358,223,1084,1687,0,0,0,0,0,0,0,0,0,767,2675,3231,286,9.3,0,101,0.0,0.0,5809,Lunch,0.30434782608695654,0.0,0,12623,0,0.045383,2
8669,"Beef, raw, select, trimmed to 1/8"" fat, separable lean and fat, boneless, top sirloin cap steak, loin",100,179,11,39,0.068,7.8,0.0,0.0003,0.0,3.63,0.0,0.267,0.145,0.0325,0.0004,0.0,0.0,0.0,0.0,0,0.00026,0.371,0.0,0.0125,0.0,0.0,1.5e-05,0.7,0.121,0.274,2.4,0.0,20.7,33.9,0.000287,0.782,2010,1265,1406,2010,211,3357,995,786,137,954,1781,1988,555,820,927,852,965,225,770,1019,0,0,0,0,0,0,0,0,0,1090,3930,5626,366,6.8,0,90,0.0,0.0,6860,Lunch,0.2916666666666667,0.0,0,8307,0,0.032787000000000004,1
8670,"Beef, raw, choice, trimmed to 1/8"" fat, separable lean and fat, boneless, top sirloin cap steak, loin",100,199,13,51,0.068,8.0,0.0,0.0003,0.0,3.552,0.0,0.222,0.083,0.0325,0.0004,0.0,0.0,0.0,0.0,0,0.000267,0.395,0.0,0.0125,0.0,0.0,1.5e-05,0.6,0.13,0.24,2.2,0.0,19.1,32.5,0.000277,0.709,1970,1218,1330,1903,198,3205,971,725,135,915,1683,1863,531,786,878,805,924,221,729,984,0,0,0,0,0,0,0,0,0,1340,5079,7083,433,6.8,0,90,0.0,0.0,6650,Lunch,0.2727272727272727,0.0,0,7907,0,0.032777,1
8671,"Pork, raw,with added solution, separable lean and fat, blade (steaks), (Boston butt), shoulder, fresh",100,169,11,39,0.062,15.5,0.717,0.0,0.0,3.763,1.418,0.335,0.474,0.0,0.0,0.0,0.0,0.0,0.0,0,9.6e-05,0.48,0.0,0.045,0.021,0.021,0.0,1.5,0.116,0.097,1.8,0.01,21.1,39.1,0.000266,0.283,1719,1009,1144,1681,198,2744,774,742,44,846,1464,1594,473,722,695,743,772,181,654,898,16,0,0,0,0,0,0,0,0,1112,3912,4686,1434,6.2,0,125,0.0,0.0,7036,Lunch,0.8333333333333333,0.0,0,6950,16,0.021266,1
8672,"Beef, cooked, all grades, trimmed to 0"" fat, separable lean and fat, composite of trimmed retail cuts",100,230,12,49,0.089,6.2,0.715,0.0007,0.0,5.519,0.457,0.269,0.073,0.035,0.0004,0.0,0.0,0.0,0.0,0,0.000273,0.542,0.0,0.01,0.019,0.019,1.5e-05,1.4,0.088,0.282,2.0,0.009,22.4,32.3,0.000292,0.634,2840,1741,1924,2715,314,4591,1458,1006,207,1311,2404,2630,783,1140,1279,1155,1291,294,1020,1407,0,0,0,0,0,0,0,0,0,1242,4853,5573,660,8.9,0,112,0.0,0.0,5861,Lunch,0.7,0.0,0,11260,0,0.05429200000000001,2
8673,"Beef, raw, choice, trimmed to 1/8"" fat, separable lean and fat, lip-on, boneless, rib eye steak/roast",100,253,20,87,0.068,5.0,0.411,0.0003,0.0,4.629,0.474,0.244,0.107,0.0375,0.0005,0.0,0.0,0.0,0.0,0,0.000175,0.404,0.0,0.015,0.017,0.017,1.5e-05,0.8,0.063,0.181,1.9,0.063,12.8,22.4,0.000233,0.471,1839,1137,1241,1776,185,2991,907,677,126,854,1571,1739,496,734,820,751,862,206,680,919,0,0,0,0,0,0,0,0,0,1995,8741,9322,932,6.8,0,87,0.0,0.0,6090,Supper,0.4210526315789474,0.0,0,7381,0,0.054733,2
8674,"Lamb, broiled, cooked, trimmed to 1/8"" fat, separable lean and fat, loin, fresh, imported, Australian",100,219,12,56,0.082,7.8,0.0,0.0,0.0,7.831,0.813,0.322,0.173,0.0,0.0,0.0,0.0,0.0,0.0,0,0.0002,0.493,0.0,0.0,0.0,0.0,0.0,2.1,0.15,0.212,2.5,0.013,21.4,33.1,9.6e-05,0.336,2549,1534,1513,2244,306,3700,1244,808,0,1232,1982,2252,653,1036,1069,946,1089,298,857,1375,0,0,0,0,0,0,0,0,0,1225,5572,4888,486,8.2,0,103,0.0,0.0,6200,Lunch,0.8400000000000001,0.0,1,9917,0,9.6e-05,2
8675,"Beef, grilled, cooked, all grades, trimmed to 1/8"" fat, separable lean only, boneless, top loin filet",100,195,85,3,0.086,6.3,0.0,0.0007,0.0,8.654,0.0,0.15,0.078,0.015,0.0002,0.0,0.0,0.0,0.0,0,0.000392,0.61,0.0,0.01,0.0,0.0,1.6e-05,1.7,0.096,0.206,2.6,0.0,23.5,37.7,0.000339,0.569,2933,1914,2151,3097,322,5229,1382,1190,148,1495,2759,3083,852,1278,1346,1301,1507,360,1197,1581,30,0,0,0,0,0,0,0,0,854,2987,3628,293,8.6,0,116,0.0,0.0,6067,Lunch,0.6538461538461539,0.0,0,12915,30,0.015339,1
8676,"Beef, raw, all grades, trimmed to 0"" fat, separable lean only, boneless, chuck eye Country-Style ribs",100,146,7,3,0.07,8.2,0.74,0.0003,0.0,4.167,0.71,0.187,0.07,0.0175,0.0002,0.0,0.0,0.0,0.0,0,0.000324,0.357,0.0,0.01,0.017,0.017,1.5e-05,1.5,0.093,0.224,1.8,0.014,19.3,31.7,0.000213,0.744,2096,1211,1410,1930,223,3413,933,691,106,918,1735,1886,611,817,863,823,949,240,743,970,0,0,0,0,0,0,0,0,0,695,3030,3550,340,7.0,0,96,0.0,0.0,7119,Lunch,0.8333333333333333,0.0,0,8126,0,0.034713,1
8677,"Beef, raw, choice, trimmed to 0"" fat, separable lean and fat, lip off, boneless, top loin steak, loin",100,171,92,38,0.059,4.5,0.56,0.0004,0.0,6.681,0.361,0.197,0.052,0.0325,0.0004,0.0,0.0,0.0,0.0,0,0.000167,0.57,0.0,0.0075,0.024,0.024,1.5e-05,1.5,0.041,0.191,1.1,0.002,19.8,27.1,0.000202,0.362,2219,1372,1498,2143,223,3609,1094,817,152,1031,1895,2098,598,885,989,906,1040,249,821,1108,0,0,0,0,0,0,0,0,0,916,3790,4328,505,5.9,0,98,0.0,0.0,6782,Lunch,1.3636363636363635,0.0,0,8904,0,0.056702,1
8678,"Beef, raw, select, trimmed to 0"" fat, separable lean and fat, lip off, boneless, top loin steak, loin",100,151,67,29,0.063,4.6,0.61,0.0004,0.0,6.267,0.391,0.213,0.059,0.0325,0.0004,0.0,0.0,0.0,0.0,0,0.000185,0.552,0.0,0.005,0.02,0.02,1.5e-05,1.4,0.044,0.173,1.2,0.002,20.4,27.9,0.000214,0.352,2279,1434,1594,2279,239,3805,1128,891,156,1081,2019,2253,630,930,1051,966,1094,255,874,1155,0,0,0,0,0,0,0,0,0,667,2910,3250,420,6.3,0,102,0.0,0.0,7015,Lunch,1.1666666666666667,0.0,0,9417,0,0.052714000000000004,1
8679,"Beef, roasted, cooked, select, trimmed to 1/8"" fat, separable lean and fat, large end (ribs 6-9), rib",100,333,26,10,0.084,6.5,0.0,0.0008,0.0,3.74,0.38,0.19,0.07,0.0,0.0,0.0,0.0,0.0,0.0,0,0.000237,0.23,0.0,0.0,0.0,0.0,0.0,0.9,0.09,0.239,2.0,0.014,17.6,29.9,0.000217,0.598,2340,1411,1479,2137,262,3515,1276,801,0,1052,1849,1946,599,913,1033,895,1022,262,786,1138,0,0,0,0,0,0,0,0,0,2584,10420,11060,900,8.4,0,93,0.0,0.0,4940,Supper,0.45,0.0,0,8781,0,0.000217,3
